款号,产品名称,小名,在库库存,采购在途
9AW2409105,十字香风开衫,十字香风开衫,46,0
MD09DC080,编织感长袖针织开衫,法式千层,13,0
ME07DF064,松紧腰皮伞裙,摩登裙,53,0
ME12BW028,糯米卫衣,糯米卫衣,37,0
9SS2409240,宽松和纸U领上衣,宽松和纸U领上衣,97,0
ME09FC024,撞边镂空针织开衫,豆沙衫,16,423
ME21DW041,贴袋皮草外套,贴袋皮草外套,14,0
MD09BW077,U领多色针织背心,暖暖背心,11,0
MD09DF082,夹花小香针织开衫,奥利奥千层,38,0
9SS2409196,宽松和纸针织套衫,宽松和纸针织套衫,2,0
ME10DF045,合身T恤,信标T,175,0
ME05DF048,微宽松锥形裤,马提尼,28,0
ME07DV009,松紧腰皮伞裙,摩登裙,30,0
MD04DF036,夹花织带小香针织马甲,奥利奥千层,90,0
MD07DV024,糯米半裙,糯米半裙,40,0
ME08DC039,拼接t恤裙,T恤裙,145,0
9AW2409106,十字香风马甲,十字香风马甲,96,0
9AW2407067,花苞边半裙,花苞边半裙,6,0
MD04DC050,编织感针织马甲,法式千层,116,0
ME05DV029,logo松紧腰长裤,云朵套,9,0
ME12DV002,圆领口袋卫衣,云朵套,21,0
ME06DV011,松紧短裤,松紧短裤,181,0
ME20DV026,人鱼珍珠小香短外套,白月光,6,0
9SS2409138,V领美背吊带背心,V领美背吊带背心,5,0
ME20DV032,人鱼珍珠小香米色短外套,白月光,11,0
9SS2415050,轻薄外套,轻薄外套,11,0
ME34DF005,格纹荡领长袖上衣,苏格兰,259,0
ME05DF038,松紧八分裤,老花套,145,0
ME42DF003,尖头低跟高筒靴,尖头低跟高筒靴,29,0
9SS2408065,层次流苏吊带连衣裙,意大利风琴,26,0
ME04DC041,背心式马甲,老花套,112,0
9SS2477036,司马克天丝裙裤牛仔(水洗产品),司马克天丝裙裤牛仔(水洗产品),9,0
MD09BW129,系带针织中裤,系带针织中裤,58,0
MD09BW097,大勺领针织连衣裙,大勺领针织连衣裙,57,0
MD09DV124,条纹polo领针织开衫,小胖条,37,0
ME19DC028,花朵配饰,花朵配饰,1,0
ME10DF016,宽松长袖t,椰奶套,55,0
MD09DF130,毛绒极简连帽针织套衫,软糯方糖,33,0
MD09BF001,坑条一字领针织衫,坑条一字领针织衫,75,0
ME07DW024,毛绒针织半裙,软糯方糖,74,0
ME15DW011,弧形立领一粒扣外套,水豚大衣,180,0
ME42DW006,小冰岛 短款雪地靴,小冰岛,41,0
ME01DF025,宽松中长西装,烟熏玫瑰,3,0
ME15DF012,撞色边夹克,椰奶套,84,0
ME10DF004,短袖,秋叶原,374,0
MD09BW092,大勺领针织背心,大勺领针织背心,8,0
9AW2409103,针织织带圆领开衫,贵千金,68,0
ME05DC041,阔腿双褶长裤,烟熏玫瑰,26,0
9SS2407101,压褶橡筋腰半裙,小星星,17,0
9SS2401016,明线撞色西装,明线撞色西装,91,0
ME13DW016,牛角扣皮襻羽绒服,厚切吐司,74,0
ME13DF041,长款羽绒服,小暖炉,152,0
ME05DF037,松紧腰9分裤,椰奶套,73,0
ME08DF008,真两件连衣裙,真两件连衣裙,242,0
ME06DV032,色织泡泡纱短西裤,开拓者,97,0
9SS2407156,司马克直筒半裙,司马克直筒半裙,11,0
9AW2414022,拼皮大衣,卡门,32,0
9AW2409007,双层门襟针织开衫,小画家,23,0
9SS2407087,短款修身半裙,短款修身半裙,0,0
9SS2401075,平驳领短款西装外套,miu系套装,9,0
MD09DC071,彩色肌理条纹针织开衫,彩虹条,45,0
ME06FC012,抽绳短裤,抽绳短裤,0,260
ME01DF064,格纹两粒扣西装,威尔士,21,0
ME15BW050,泰迪夹克外套,毛毛熊,61,0
ME25DF023,格纹连腰西裤,威尔士,33,0
ME19DC027,头层绒皮皮带,头层绒皮皮带,43,0
ME17DF022,可拆卸飘带宽松衬衫,逐风系列,0,0
ME43FC001,新年贺岁丝巾 （线之舞-万马),线之舞-万马,46,9
9SS2410031,司马克短袖上衣,司马克短袖上衣,10,0
ME04DF044,格纹马甲,威尔士,36,0
ME11DF013,飘带荡领上衣,逐风系列,0,0
ME19FV009,刺绣鸭舌帽,刺绣鸭舌帽,197,0
ME15DV053,口袋夹克,开拓者,66,0
ME13DF025,直身羽绒服,暖暖包,114,0
MD09DC044,彩色肌理条纹针织套衫,彩虹条,0,0
ME21DF040,双面穿皮草,雪域南瓜,12,0
9AW2409009,双层门襟针织马甲,小画家,21,0
9SS2404024,下摆装饰边马甲,miu系套装,4,0
9SS230125,小平驳领一粒扣西装,小平驳领一粒扣西装,7,0
9AW2420021,航海白色小香,航海白色,2,0
ME16DV030,气球纸皮外套,小飞象,1,0
ME21BW003,落肩外套——c,黑松露,0,0
ME16DW008,连帽卫衣款开襟皮外套,皮皮帽,95,0
ME77FV014,修身直筒牛仔裤(水洗产品),嬉皮士,105,0
MD42BF002,小香复古装饰扣粗花呢玛丽珍鞋,小香复古装饰扣粗花呢玛丽珍鞋,2,0
9SS2407020,压褶垂感半裙,月光套,147,0
MD77DW004,羊绒直筒牛仔裤(水洗产品),软软牛仔,11,0
MD19BW015,小香复古装饰扣玛丽珍鞋,小香复古装饰扣玛丽珍鞋,0,0
9SS2417016,围裹式圆领上衣,月光套,42,0
ME21BW002,落肩外套,黑松露,1,0
9AW2308026,压褶针梭相拼连衣裙,压褶针梭相拼连衣裙,64,0
ME17BW022,衬衫式外套,星芒,2,0
ME18DW008,光泽纸感长风衣,里斯本,203,0
9AW2414038,安特卫普双面风衣大衣,吉拉大衣,19,0
ME19FC006,极简双色围巾,极简双色围巾,1,0
MD09BW041,拉链抽绳落肩针织外套,行李箱,13,0
ME13DW039,连帽被子羽绒,云朵罐,62,0
9AW2414002,中长款廓形大衣,邦德大衣,9,0
9SS2406001,抽绳短裤,抽绳短裤,29,0
ME05DF074,抽绳九分裤,抽绳九分裤,5,0
ME18DF033,自由领长风衣,慕尼黑,18,0
MD09DW099,高领打底针织,布丁衫,211,0
ME14DF003,几何提花相拼落肩短大衣,多米诺,27,0
ME07DW060,小A裙,小豆蔻,93,0
ME08FV003,无袖拼接连衣裙,舒期裙/巴洛克系列,11,100
ME15FW003,四口袋工装夹克,领航员,272,0
ME01DW010,灯芯绒西装,黑胶骑士,26,0
ME15DW035,翻领夹克,小豆蔻,97,0
9SS2377058,marius 排扣门襟醋酸牛仔,marius 排扣门襟醋酸牛仔,58,0
ME21DW042,圆领皮草大衣,奥罗拉,8,0
ME05FC027,显瘦阔腿凉感休闲九分裤,小冰岛,0,330
9SS2405061,松紧腰醋酸长裤,松紧腰醋酸长裤,123,0
ME04DW020,半高领马甲,小豆蔻,19,0
ME09FV052,镂空圆领针织短袖,慕斯衫,91,0
ME21DF020,荡领皮草,小湖羊,1,0
9SS2411054,勺领打褶短袖,勺领打褶短袖,46,0
ME25FV009,直筒九分裤,皇后街格纹版,96,0
MD09FV046,条纹针织背心,薄荷糖,142,0
ME21DF012,小胡羊系带马甲,小湖羊,1,0
ME01FV011,六粒扣西装,皇后街格纹版,135,0
9SS2310011,marius “清晨雾彩”水洗T恤,marius “清晨雾彩”水洗T恤,8,0
ME12DF019,字母卫衣,字母卫衣,196,0
ME05DW008,灯芯绒长裤,黑胶骑士,33,0
ME17FC008,西装领衬衫,小冰岛,0,400
ME09FV027,手工钩边小香背心,手工钩边小香背心,26,0
ME07FC027,树皮皱斜裁鱼尾裙,树皮皱斜裁鱼尾裙,0,340
ME71DW002,牦牛绒针织披肩,牦牛绒针织披肩,11,0
ME05DW043,双面尼七分裤,柏林大衣,49,0
9SS2409060,简约小圆领背心,简约小圆领背心,29,0
MD09DV132,肌理感V领针织开衫,肌理感V领针织开衫,79,0
MD09DF134,花式珠片镂空挑洞开衫,燕麦衫,77,0
ME05DF087,橡筋休闲裤,树懒套,25,0
9SS2409059,简约小圆领开衫,简约小圆领开衫,65,0
9SS2410015,翻边T恤,翻边T恤,41,0
9SS2401127,醋酸绑带西装,自由域,21,0
MD09DV147,肌理感U领针织背心,肌理感U领针织背心,75,0
ME77DC015,双摺拼色筒裤(水洗产品),AB裤,78,0
ME34FC003,树皮皱不对称系带上衣,树皮皱不对称系带上衣,0,300
MD09BW160,费尔岛重工拼接针织开衫,费尔岛重工拼接针织开衫,110,0
ME24DW003,羊绒蛋白瑜伽裤,羊绒蛋白瑜伽裤,0,0
ME11DC034,工字背心,工字背心,280,0
9SS2408167,无袖连衣裙,无袖连衣裙,4,0
ME10DF018,印花T,短句T,45,0
9SS2405165,长裤,长裤,0,0
ME16DW010,翻领皮衣,热美式,32,0
ME20BF003,立领收腰小香外套,小星星,0,0
9SS2405145,休闲长裤,DuangDuang裤,22,0
ME09FV026,手工钩边小香开衫,手工钩边小香开衫,6,3
9SS2401120,叠门襟西装,自由域,9,0
9SS2411083,天丝麻背心,天丝麻背心,0,0
9SS2405202,连腰侧插袋小脚裤（N）,连腰侧插袋小脚裤（N）,13,0
ME05BF008,抽绳西裤,抽绳西裤,63,0
ME13DF045,泰迪羽绒服,树懒套,65,0
ME10DV009,万能T,万能T,15,0
9SS2401151,四合扣平驳领西装（N）,四合扣平驳领西装（N）,0,0
ME09DW008,花式珠片镂空挑洞套衫,燕麦衫,22,0
ME05DF017,休闲裤,街拍裤,57,0
ME27DW002,立领拉链毛外套,小眼睛,181,0
9SS2411081,贴袋背心,贴袋背心,0,0
ME05BF011,粗花呢长裤,小星星,17,0
MD19DW023,针织冷帽,针织冷帽,4,0
ME01BF004,剑桥2.0西装,夹心饼干,16,0
ME58DF006,荡领双面尼大衣,柏林大衣,45,0
ME15FV033,树皮皱心智外套,树皮皱心智外套,0,340
ME14BF010,无领衬衫式大衣,衬衫大衣,35,0
9SS2407071,蛋糕仙女裙,蛋糕仙女裙,63,0
ME10DF034,蕾丝拼接长袖T,棉花糖,289,0
9AW2301074,菠萝纹西装,爱丁堡,41,0
9AW2305054-1,抽绳瘦瘦裤（长）,瘦瘦裤,20,0
ME34DC040,斑马纹斜肩上衣,小斑马,16,0
ME05FV026,九分弯刀阔腿裤,泰晤士,16,0
ME12BW008,连帽开衫卫衣,星期六,19,0
ME14DF055,西装大衣,信封大衣,25,0
ME01DF019,解构西装,解构西装,72,0
9SS2418023,短款无领风衣,冰美式,45,0
MD09BW145,精纺针织长袖开衫,精纺针织长袖开衫,9,0
ME19DF015,双面尼三角巾,双面尼三角巾,147,0
ME05DF044,毛边直筒裤,解构西装,12,0
9AW2409023,璀璨星光金豆针织套头衫,小彩豆,30,0
9AW2305054,抽绳瘦瘦裤,瘦瘦裤,54,0
MD09BW001,翻领提花拉链开衫,松鼠衫,25,0
ME19DF007,金属环扣,金属环扣,144,0
9SS2409219,立体菱形格肌理松弛背心,立体菱形格肌理松弛背心,25,0
9SS2401126,廓形西装,廓形西装,6,0
9SS2420013,over圆领香风外套,over圆领香风外套,27,0
ME05DC095-1,斑马纹休闲裤(加长版),小斑马,27,0
9SS2418019,无领风衣,冰美式,9,0
ME13DW009,毛织香风羽绒马甲,天王星,84,0
9SS2409233,立体菱形格肌理松弛开衫,立体菱形格肌理松弛开衫,0,0
9SS2477039,牛仔直筒裤(水洗产品),牛仔直筒裤(水洗产品),1,0
MD09BW081,半开襟拉链针织套头衫,小糖豆,17,0
ME05DC095,斑马纹休闲长裤,小斑马,162,0
MD01FV002,短款箱型西装,泰晤士,147,0
ME15DF056,圆领长袖盘扣大衣,远山黛,35,0
ME07DC050,蕾丝伞裙,小雏菊,330,0
ME16DF011,排褶泡泡真皮短夹克,气球夹克,1,0
9SS230701,三片式缎面半裙,三片式缎面半裙,37,0
ME13DW010,毛织香风羽绒服,天王星,33,0
ME11FC014,蕾丝吊带,马提尼,11,1923
ME10DV040,U领细坑T恤,亨利T,286,5
MD09DC052,刺绣条纹针织套衫,平行线,21,0
ME07BW026,格纹半裙,格子半裙,8,0
MD09FV029,polo领提花短袖针织衫,雪花衫,5,0
ME07BW081,格纹半裙,暖暖格,16,0
ME12DF013,荡领卫衣,袋鼠套,146,0
ME13BW004,正反两面穿棉服,暖暖格,42,0
9SS2408112,U领双贴袋连衣裙,U领双贴袋连衣裙,3,0
ME07DF012,花苞松紧半裙,泡泡夹克,34,0
ME15DF017,兜兜夹克,泡泡夹克,75,0
ME15DV021,插肩袖灯笼卫衣外套,活力套,5,0
MD05DC043,条纹针织短裤,懒懒条,35,0
MD09DV040,丝羊毛针织马甲,丝羊毛针织马甲,205,0
9AW2409014,荷叶边无袖上衣,小木耳,14,0
ME05DV067,运动卫裤,活力套,2,0
ME04DW023,毛绒绞花拉链针织马甲,麦浪马甲,66,0
ME23DF002,卫裤,袋鼠套,94,0
9SS2404059,U领双贴袋马甲,U领双贴袋马甲,11,0
9SS2420050,双贴袋圆领外套,双贴袋圆领外套,6,0
ME25DF004,西裤,加薪裤,34,0
9SS2405161,双贴袋连腰长裤,双贴袋连腰长裤,15,0
ME18DV010,一手长翻领拼接外套,一手长翻领拼接外套,142,0
ME21DF075,皮毛一体翻领外套,拿铁骑士/脆皮松果,48,0
9SS2301080,两粒扣双贴袋西装,两粒扣双贴袋西装,19,0
ME11DV068,V领蕾丝花边针织吊带,小海鸥,97,0
MD09DC013,条纹针织开衫,懒懒条,128,0
MD09BW024,手工艺菱格针织套头衫,手工艺菱格针织套头衫,9,0
9SS2411082,挂脖吊带背心,挂脖吊带背心,1,0
ME06BW020,黑色粗花呢中裤,浴袍小香,1,0
9SS2409159,流苏剪花针织背心,流苏剪花针织背心,1,0
9SS2409146,流苏剪花针织T恤,流苏剪花针织T恤,0,0
MD09DF123,羊绒拉毛v领针织开衫,玉兔,10,0
ME19DF007,金属环扣,金属环扣,144,0
ME05BW051,木耳边抽绳长裤,木耳边抽绳长裤,41,0
ME12DW022,一字肩卫衣,考拉套,205,1
ME23DW012,卫裤,考拉套,178,4
ME15BW044,白色浴袍大衣,浴袍小香,31,0
ME42FV002,新款尖头细跟单鞋,新款尖头细跟单鞋,11,0
9SS2410001,后领贴长袖t恤,后领贴长袖t恤,32,0
ME15DV043,休闲宽松工装夹克,冒险家通勤版,52,0
ME06BW016,白色粗花呢短裤,浴袍小香,7,0
9AW2314033,圆领大袖双面呢大衣,圆领大袖双面呢大衣,4,0
ME12DF011,圆领印花卫衣,美高套,113,0
9AW2409048,系带竖条纹针织衫,小泰迪,5,0
ME14DW006,连帽浴袍式大衣,浴袍大衣,49,0
ME20BW026,浴袍式小香外套,浴袍小香,5,0
ME09DW004,拉毛羊绒圆领针织套衫,玉兔,12,0
ME05FV032,弯刀弧形松紧腰卫裤,果冻裤春夏版,51,26
ME15BW013,色织条纹外套,麻花辫,31,0
ME17DC040,新中式真丝印花上衣,醉花阴,157,0
9SS2410022,假两件撞色短袖,假两件撞色短袖,58,0
9SS2409129,拉链v领半袖针织衫,拉链v领半袖针织衫,0,0
ME07DC087,印花欧根缎伞裙,醉花阴,75,0
ME09DW002,夹花羊绒帽,夹花羊绒帽,197,0
9AW2309111,一粒扣圆领针织套衫,一粒扣圆领针织套衫,28,0
ME18DW014,正反两面穿一手长风衣,勘探者,83,0
9SS2409176,拉链v领针织背心,拉链v领针织背心,3,0
ME04DC042,印花新中式真丝马甲,醉花阴,2,0
ME14BW040,灰闪闪短大衣,建造家-银闪闪,19,0
ME14DF050,系带大衣,一生之衣,107,0
9SS230540,长直阔腿裤,长直阔腿裤,47,0
ME14BW028,小泰迪大衣,建造家,59,0
MD09DW093,麋鹿夹花针织套衫,探雪麋鹿,112,0
9SS2409095,大U领双肩带背心,大U领双肩带背心,4,0
ME10DC083,Oversize大廓形短袖T,灵感T,59,0
9SS2414008,翻领拼接外套,邦德风衣,2,0
ME21DF030,粉色水貂皮草外套,粉雾极光,2,0
ME78DC001,抽绳牛仔外套(水洗产品),花苞牛仔,3,0
ME11FC007,亮片刺绣圆领无袖上衣,月光精灵,6,100
ME58DF005,蝙蝠袖双面尼外套,松茸大衣,6,0
ME20DC025,U领小香马甲,英伦庄园,12,0
ME15DC048,拼接小开衫,爱丽丝,13,0
ME01DW039,毛边短款休闲西装,苏黎世,219,0
ME07FV046,亮片长裙,月光精灵,3,100
9SS2417037,飘带v领印花衬衫,飘带v领印花衬衫,28,0
9SS2408072,印花飘带连衣裙,多瑙河,4,0
ME16DV011,立领皮风衣,立领皮风衣,41,0
ME05DW023,松紧皮裤,摇滚腔调,44,0
ME15DF040,连帽开衫外套,香蕉套,160,0
ME10DC065,拼接连帽短袖,爱丽丝,53,0
ME18DV031,插袋长风衣,卢森堡,44,0
ME08FC001,时尚圆领连衣裙,小金环,25,0
ME18DF013,通勤风衣,卢森堡,204,0
MD05DV084,对对裤,对对裤,38,0
ME19DW007,大狮子挂件,大狮子,5,0
ME05DC160,气球松紧裤,芝加哥,92,0
ME12DF016,假两件字母卫衣,叠中叠,144,0
ME13DW040,连帽精纺羽绒,雪宝宝,68,0
ME34FC001,双翻领斜摆上衣,斜塔,49,0
9SS230119,斜门襟西服,斜塔西装,33,0
ME05DF067,奶奶裤,香蕉裤,181,0
ME05DF019,直筒长裤,皇后街,20,200
9SS2407063,飘逸印花半裙,飘逸印花半裙,66,0
9AW2309070,圈圈纱针织背心,圈圈纱针织背心,17,0
ME01DC063,小领落肩宽松西装,芝加哥,160,0
9SS2408091,无袖公主线连衣裙,无袖公主线连衣裙,9,0
9AW2419006,极简银色扣头腰带,腰带,0,0
ME08DC083,一字领绣花连衣裙,马黛茶,34,0
9AW2314100,三粒扣立领大衣,3粒扣,33,0
ME07DC091,绣花伞裙,马黛茶,66,0
ME12DF018,针织羊毛卫衣开衫,散文诗,183,0
9SS2405123,香风直筒长裤,香风直筒长裤,43,0
9AW2409080,全羊毛连帽针织衫,全羊毛连帽针织衫,1,0
9SS2411018,短款工装背心,短款工装背心,55,0
ME77DV024,醋酸牛仔半裤(水洗产品),流浪者,192,5
9SS2405221,前开叉九分小脚裤,前开叉九分小脚裤,53,0
ME08DF022,卫衣式针织羊毛连衣裙,卫衣式针织羊毛连衣裙,129,0
9SS2404027,圆领马甲,圆领马甲,88,0
9AW2307026,格纹百褶半裙,迷雾,30,0
MD09BW104,亮片无袖连衣裙,亮片无袖连衣裙,8,0
ME07DC059,绣花伞裙,马黛茶,76,0
ME42BW002,勃肯鞋,勃肯鞋,34,0
ME07DF068,压褶A摆半身裙,流光裙,11,0
9AW2403001,威尔士格纹连衣裙,棒球夹克,17,0
ME15FV027,宽松连帽短外套,幸运日,283,0
9AW2301016,单排扣袋盖西装,迷雾,60,0
9AW2308024,绣花装饰连衣裙,绣花装饰连衣裙,1,0
9SS2404037,香风马甲,香风马甲,1,0
9AW220152,圆领廓形西装,斑马,4,0
ME01DF066,格纹西装,格纹西装,4,0
9AW2407030,MIU风半裙,棒球夹克,22,0
ME10DC064,短袖卫衣,花环T,34,0
ME05BW001,缪西亚长裤DY版,知识分子裤,5,0
ME25DW012,单褶西裤,优雅老钱,96,0
MD09BW091,圆领珠片针织套衫,圆领珠片针织套衫,84,0
9SS2407124,简约半裙,简约半裙,109,0
ME10DF041,短袖印花T恤,崇礼T,1,0
ME07DF077,不规则半裙,自由域,60,0
ME05BF010,松弛抽绳西裤,知识分子裤,65,0
MD09BW070,小菱格花纱肌理针织半裙,鳞鳞套装,76,0
ME08DC004,绑带连衣裙,懒洋洋,21,0
ME23DW011,短卫裤,幸运日,268,1
MD09BW031,小菱格花纱肌理针织开衫,鳞鳞套装,33,0
9AW2415020,威尔士格纹夹克,威尔士格纹夹克,1,0
9SS2318009,自由领风衣,自由女神,14,0
ME14DW075,多穿大衣,自由女神,243,0
MD09BW049,羊毛针织长半裙,小小miu,9,0
ME07DF068-1,压褶A摆半身裙(长),流光裙,14,0
MD01DW036,三贴袋西装,优雅老钱,84,0
ME17DF029,丝绒拼接衬衫,旧巴黎,11,0
MD09DV005,假两件针织开衫,风信子,288,0
ME19DW021,绞花针织帽,抹茶套,67,0
9AW2414024,赫尔姆连帽大衣,赫尔姆连帽大衣,1,0
ME43DW017,绞花针织围巾,抹茶套,102,0
9AW2305011,小脚裤,黑盒子,25,0
ME15DF001,斜插袋宽领短外套,气球夹克,128,0
9SS2415017,明线夹克,明线夹克,6,0
ME05DF041,七分裤,流浪诗人秋冬版,65,0
ME15DV032,砂洗丝锦绸外套,干丝套装,163,30
ME09DW042,蕾丝拼接v领针织开衫,温暖壁炉,81,0
ME05DV069,砂洗丝锦绸奶奶裤,干丝套装,74,0
ME23DW014,长卫裤,杏仁奶茶,66,0
ME12DW023,卫衣开衫,杏仁奶茶,18,0
MD77FV012,两色牛仔裤(水洗产品),两色牛仔裤(水洗产品),79,2
MD10DW012,元气羊毛短袖T恤,暖暖T,18,0
9SS2305045,高腰直筒长裤,高腰直筒长裤,4,0
ME19DC024,条纹帆布包,条纹帆布包,2,0
ME09DW041,蕾丝拼接圆领针织套衫,温暖壁炉/蔷薇套,138,0
MD09DF070,手工拼接镂空针织套衫,浮雕衫,44,0
9SS2401062,三粒扣西装,凯特王妃,24,0
ME01DF059,流浪诗人秋冬版,流浪诗人秋冬版,205,0
ME06DV022,八分裤,云游套,63,0
ME19DW038,保暖防滑马丁靴,马丁靴,83,0
ME06DV024,短裤,云游套,59,0
ME07DW038,蕾丝针织半裙,温暖壁炉/蔷薇套,130,0
ME20DV039,粉格八分袖小香外套,樱花雨,18,0
9SS2408082,无袖U领裙,无袖U领裙,65,0
9SS2409117,撞色拼接假两件背心,撞色拼接假两件背心,4,0
9SS2407018,明线半裙,明线半裙,125,0
9AW2409022,元宝针手工勾边针织套衫,NEW描边,32,0
ME17DV045,衬衫,云游套,107,0
ME20DF042,撞色菱形格套衫,积木套衫,47,0
ME78DF005,合身牛仔衬衫(水洗产品),冰川牛仔,6,0
9SS2405056,侧拉造型感锥形裤,凯特王妃,18,0
ME05BW091,弯刀9分卫裤,弯刀9分卫裤,34,0
ME05FV012,打褶束脚西裤,柏林西裤,314,0
9AW2409008,元宝针手工勾边针织开衫,NEW描边,45,0
9SS2309005,针织基础短袖打底,针织基础短袖打底,72,0
9SS2411021,压褶无袖背心,压褶无袖背心,59,0
ME09FC026,竹节肌理针织吊带,竹节肌理针织吊带,72,0
9SS2415092,高领夹克外套,高领夹克外套,5,0
ME25DW014,显瘦小脚西裤,主编裤,63,0
ME14DW076,茧型蝙蝠袖中长款大衣,西西里大衣,82,0
ME10DW023,洗水假两件长袖T恤,叠影T,142,0
MD09BW133,高领羊毛针织开衫,翻翻乐,7,0
ME19DW004,快乐小熊,快乐小熊,15,0
ME15DV025,小半格香香外套,半格小香,15,0
ME16DF001,复古猎装外套,猎人夹克,46,0
ME09FC025,竹节肌理针织开衫,竹节肌理针织开衫,79,0
ME09FV019,棉麻娃娃领短袖针织衫,赫拉小姐,15,0
9SS2407053,印花压褶半裙,印花压褶半裙,11,0
9SS2409185,抽褶宽松针织套衫,抽褶宽松针织套衫,48,0
9AW2317029,拼接王牌衬衫,拼接王牌衬衫,57,0
ME06DF008,小香中裤,芝麻小香,76,0
9SS2408055,腰间折裥连衣裙,腰间折裥连衣裙,5,0
ME14DW021,中长款泰迪3粒扣大衣,饼干大衣,12,0
ME07DF082,蕾丝拼接半裙,圆舞曲,5,0
ME04DW005,短款秋冬泰迪马甲,饼干大衣,62,0
ME05DW034,宽松直筒裤,空间裤,47,0
9SS2409150,和纸纱镂空条纹背心,和纸纱镂空条纹背心,15,0
ME77DF028,豹纹牛仔裤(水洗产品),豹纹牛仔,76,0
ME05FC001,宽松阔腿休闲裤,流浪诗人,221,0
9SS2309173,肌理感短款小香风马甲,800,0,0
ME11FV017,方领棉麻针织背心,赫拉小姐,233,0
ME20DC026,廓形休闲小香马甲,芝麻小香,27,0
ME77DC033,原色牛仔(水洗产品),老爹裤,23,0
ME14DW028,双面呢中长款简约大衣,墨尔本大衣/肯豆大衣,135,0
MD09DC069,圆领针织条纹套衫,海岛衫,24,0
ME05DF084,灯芯绒中裤,慢时光,40,0
9SS2417094,蓝玫瑰印花系带上衣,蓝玫瑰印花系带上衣,0,0
9AW2413017,休闲短款螺纹拼接羽绒,休闲短款螺纹拼接羽绒,0,0
9SS2409097,和纸撞色小香背心,和纸撞色小香背心,0,0
9SS2405173,醋酸长裤,醋酸长裤,13,0
9SS2409098,和纸撞色小香开衫,和纸撞色小香开衫,3,0
ME13DF019,V领羽绒马甲,蛋卷马甲,2,0
9SS2407137,蓝玫瑰印花百褶短裙,厄瓜多尔,43,0
ME09FV038,镂空条纹落肩宽松针织衫,夹心可可,62,0
9SS2408097,蓝玫瑰宽松印花连衣裙,蓝玫瑰宽松印花连衣裙,0,0
9SS2409164,a型摆褶皱背心,a型摆褶皱背心,62,0
MD09DF118,丝绒花纱宽松针织套衫,芝麻糊,89,0
MD16DW002,皮毛一体外套,暖暖熊,15,0
ME14BW036,大翻领大衣,墨鱼大衣,60,0
ME13BW001,一手长抽绳羽绒服,轻气球,9,0
ME13DF039,V领羽绒马甲,蛋卷马甲,3,0
MD09DV041,红色简约长围巾,红色简约长围巾,1,0
ME34DC031,罗纹梭织开衫,清闲衫,336,0
ME10FV025,小高领双层短袖T恤,层次T,450,0
9SS2409275,波西米亚钩织吊带,波西米亚钩织吊带,30,0
9SS2405173-1,醋酸长裤（长）,醋酸长裤（长）,9,0
9SS2409087,超轻褶皱半身裙,超轻褶皱半身裙,41,0
9AW2417023,格纹衬衫,格纹衬衫,12,0
MD09DF022,圆领钉珠针织开衫,圆领钉珠针织开衫,24,0
MD09DV054,红色简约长围巾,红色简约长围巾,62,0
ME04DC064,兜兜马甲,兜兜马甲,49,0
9SS2407122,蓝玫瑰印花伞裙,蓝玫瑰印花伞裙,1,0
ME43DW006,三角巾,三角巾,112,0
MD09BW066,手工钉珠V领针织套衫,手工钉珠V领针织套衫,31,0
MD09DV055,红色简约长围巾,红色简约长围巾,62,0
MD09DF056,圆领豹纹针织开衫,野兽甜心,83,0
9SS2217102,西装领真丝衬衣,西装领真丝衬衣,2,0
9AW210542,秋季小脚裤,秋季小脚裤,0,0
ME07BW003,简约百褶长裙,简约百褶长裙,9,0
9SS2408058,蝙蝠袖假两件撞色连衣裙,黑胶片,69,0
9SS2401070,2粒扣皱感西装,2粒扣皱感西装,66,0
ME09FC006,镂空条纹针织polo衫,蓝椰泡芙,5,0
9SS2405018,后背罗纹腰长裤,后背罗纹腰长裤,24,0
9SS2418027,翻领风衣,翻领风衣,13,0
ME04DF021,撞色超柔马甲,松雾林,51,0
9AW2409065,混色花式纱针织马甲,混色花式纱针织马甲,1,0
9SS2406026,西装短裤,西装短裤,34,0
ME05DW014,灯笼裤,灯笼裤,79,0
ME14DF011,插肩袖松弛夹克式大衣,松雾林,46,0
MD11DV062,v领绞花撞色针织背心,春夏叠叠乐,234,0
9SS2401148,双排扣戗驳领复古西装,双排扣戗驳领复古西装,5,0
ME10DW037,拼色条纹长袖T恤,航海T,310,0
9SS2409141,拼接条纹针织背心,拼接条纹针织背心,56,0
9AW2409011,双梭拉链针织外套,建筑师,22,0
MD04DC014,格纹针织马甲,香格里拉,48,0
ME05DF054,卫裤,美高套,156,0
MD09FV069,亚麻混纺镂空连帽针织衫,奶糖衫,5,220
9SS2405195,连腰长裤,连腰长裤,0,0
9SS2417029,醋酸衬衫,醋酸衬衫,60,0
ME06DC008,格纹系带针织短裤,香格里拉,41,0
9AW2414004,To双面呢大衣,万年青,21,0
ME42DW003,毛绒玛丽珍鞋,毛绒玛丽珍鞋,93,0
9AW2409102,翻领羊毛针织上衣,智慧衫,25,0
ME10FC003,V领宽松薄T恤,肯豆T,364,90
ME08FC003,圆领无袖修身连衣裙,升职裙,68,201
ME12DF011,圆领印花卫衣,美高套,113,0
ME05DC128,皮绳精纺中裤,皮绳精纺中裤,14,0
ME07BW003-0,简约百褶短裙（短）,简约百褶短裙（短）,2,0
